Time,Upbit_Price,Binance_Price,Premium(%),Net_PNL,ROI(%),Status
00:06:17,99536000.0,67799.93,2.02,-2818,-0.28,HOLD
00:07:17,99574000.0,67855.38,1.97,-3201,-0.32,HOLD
00:08:19,99600000.0,67840.18,2.02,-2764,-0.28,HOLD
00:09:22,99851000.0,68019.96,2.01,-2838,-0.28,HOLD
00:10:23,100034000.0,68269.66,1.82,-4452,-0.45,HOLD
00:11:26,100199000.0,68330.53,1.9,-3747,-0.37,HOLD
00:12:29,100403000.0,68560.8,1.76,-4914,-0.49,HOLD
00:13:31,100403000.0,68483.8,1.88,-3901,-0.39,HOLD
00:14:34,100400000.0,68462.77,1.91,-3652,-0.37,HOLD
00:15:37,100362000.0,68462.77,1.87,-3998,-0.4,HOLD
00:16:39,100310000.0,68418.57,1.88,-3892,-0.39,HOLD
00:17:06,100166000.0,68341.11,1.8506655285976583,-4187,-0.42,EXIT
